id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
6636,Polkadot,DOT,polkadot-new,351,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",,987579314.957085,1103303471.382273,,11,904869778.0,8305557448.320883,2022-06-10T08:41:00.000Z,9.178732288615437,392688467.1129492,26.402,-0.13723995,-0.70588693,-6.41909691,-14.16182376,-50.50403649,-49.63383231,9064726145.76531,0.7341,10126927196.92,2022-06-10T08:41:00.000Z,2502.0,Huobi Token,HT,huobi-token,0xa2c49cee16a5e5bdefde931107dc1fae9f7773e3,2022-06-10 08:42:49.109047
3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,446,2019-01-30T00:00:00.000Z,"['medium-of-exchange', 'defi', 'wrapped-tokens', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem']",,273401.60490986,273401.60490986,,12,,,2022-06-10T08:41:00.000Z,30020.793571333557,210869716.81548476,-19.3529,-0.27340513,-1.41740027,-1.28357193,-2.27266991,-28.74938408,-23.12376649,8207733143.070203,0.6648,8207733143.07,2022-06-10T08:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2022-06-10 08:42:49.109047
1958,TRON,TRX,tron,616,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'bnb-chain']",,92792703289.71887,92792710175.97522,,13,71659659264.0,5799766757.934092,2022-06-10T08:41:00.000Z,0.08093489164618102,691676190.2700391,-6.0803,-0.15576746,-0.88281062,-4.41181151,7.46252417,31.18907809,35.13529618,7510167386.309622,0.6084,7510167943.65,2022-06-10T08:41:00.000Z,,,,,,2022-06-10 08:42:49.109047
4943,Dai,DAI,multi-collateral-dai,992,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,6982242053.300763,6982242053.300763,,14,,,2022-06-10T08:41:00.000Z,0.9998749131716154,180416147.58311802,1.6712,-0.01733593,-0.07519105,-0.02174185,0.0757975,0.03617326,-0.02053666,6981368666.787302,0.5655,6981368666.79,2022-06-10T08:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2022-06-10 08:42:49.109047
5805,Avalanche,AVAX,avalanche,266,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",720000000.0,280958821.14064354,404229626.49901325,,15,,,2022-06-10T08:41:00.000Z,24.171392853101775,451830933.13240564,-25.7286,-0.87511714,-2.14661382,1.16262776,-35.01003068,-69.4592041,-66.5324291,6791166041.334851,0.5502,17403402854.23,2022-06-10T08:41:00.000Z,1839.0,BNB,BNB,bnb,0x1ce0c2827e2ef14d5c4f29a091d735a204794041,2022-06-10 08:42:49.109047
5994,Shiba Inu,SHIB,shiba-inu,359,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,549063278876301.94,589735030408322.8,,16,,,2022-06-10T08:41:00.000Z,1.0505238740716588e-05,196411479.6499329,-49.3186,-0.53616961,-1.83791233,-4.90503121,-30.67765524,-56.59234597,-52.75615941,5768040828.356203,0.4673,6195307288.2,2022-06-10T08:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2022-06-10 08:42:49.109047
3957,UNUS SED LEO,LEO,unus-sed-leo,19,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,953954130.0,985239504.0,,17,,,2022-06-10T08:41:00.000Z,5.4499549674974945,6216184.12497903,-1.8645,-0.51620375,1.4589254,11.52045753,0.21511811,-6.90540369,-6.46910116,5199007049.55825,0.4211,5369510929.0,2022-06-10T08:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2022-06-10 08:42:49.109047
3890,Polygon,MATIC,polygon,399,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",10000000000.0,7956181044.62,10000000000.0,,18,,,2022-06-10T08:41:00.000Z,0.6438146671566748,428936127.80315936,-18.957,-0.87537015,3.13706075,6.62348275,-23.0534518,-54.40733873,-54.4637838,5122306051.080271,0.415,6438146671.57,2022-06-10T08:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,2022-06-10 08:42:49.109047
3635,Cronos,CRO,cronos,137,2018-12-14T00:00:00.000Z,"['medium-of-exchange', 'cosmos-ecosystem', 'centralized-exchange', 'mobile', 'payments']",30263013692.0,25263013692.0,30263013692.0,,19,,,2022-06-10T08:41:00.000Z,0.17362391745395853,19218432.75104823,5.9262,-0.27824646,-1.90037595,-5.12701629,-22.69349512,-60.03538593,-55.5247292,4386263403.898032,0.3553,5254382991.17,2022-06-10T08:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,2022-06-10 08:42:49.109047
2,Litecoin,LTC,litecoin,782,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'binance-chain', 'bnb-chain']",84000000.0,70475181.27791464,84000000.0,,20,,,2022-06-10T08:42:00.000Z,59.87341988755554,498904054.3318906,4.061,-0.20195352,-3.20311209,-6.3736927,-23.23826248,-44.99679079,-43.52917991,4219590120.304177,0.3418,5029367270.55,2022-06-10T08:42:00.000Z,2502.0,Huobi Token,HT,huobi-token,0xecb56cf772b5c9a6907fb7d32387da2fcbfb63b4,2022-06-10 08:42:49.109047
1,Bitcoin,BTC,bitcoin,9526,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19063556.0,19063556.0,,1,,,2022-06-10T08:42:00.000Z,30028.29803173208,24728181996.394325,3.523,-0.26749291,-1.34238721,-1.4179749,-2.49929662,-28.74578327,-23.18581883,572446141112.6143,46.3905,630594258666.37,2022-06-10T08:42:00.000Z,,,,,,2022-06-10 08:42:49.109047
1027,Ethereum,ETH,ethereum,5745,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'bnb-chain']",,121117503.6865,121117503.6865,,2,,,2022-06-10T08:41:00.000Z,1786.5662822005968,12725490105.777634,-8.5187,-0.21278618,-1.28473693,-1.51440353,-23.32777061,-43.39465451,-30.78678564,216384448270.6074,17.5356,216384448270.61,2022-06-10T08:41:00.000Z,,,,,,2022-06-10 08:42:49.109047
825,Tether,USDT,tether,34540,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,72497481448.78677,79710622660.05101,,3,,,2022-06-10T08:41:00.000Z,0.9993186711512007,41632159173.67247,-10.2532,0.00512278,-0.00142632,-0.00825576,-0.03449086,-0.10170181,-0.07470188,72448086823.21042,5.8711,79656313513.28,2022-06-10T08:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-06-10 08:42:49.109047
3408,USD Coin,USDC,usd-coin,4341,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,53815631787.34218,53815631787.34218,,4,,,2022-06-10T08:41:00.000Z,0.9999586502398046,3444091816.194222,-7.4601,-0.00463004,-0.04176878,0.00997244,-0.03094974,0.03382262,0.01109185,53813406523.87301,4.3586,53813406523.87,2022-06-10T08:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-06-10 08:42:49.109047
1839,BNB,BNB,bnb,944,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",165116760.0,163276974.63,163276974.63,,5,,,2022-06-10T08:41:00.000Z,289.492023036392,878675405.7579929,-3.8966,-0.43753523,-0.54101889,-4.96297572,-4.78325033,-30.32536826,-22.82723805,47267381700.90035,3.8294,47799984889.61,2022-06-10T08:41:00.000Z,,,,,,2022-06-10 08:42:49.109047
2010,Cardano,ADA,cardano,454,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'bnb-chain']",45000000000.0,33934048405.593,34277702081.605,,6,,,2022-06-10T08:41:00.000Z,0.6185830670937922,903183303.2485325,-40.6653,-0.67102419,-4.93616505,5.37496683,1.30450173,-38.58957746,-21.97310151,20991027741.640926,1.7002,27836238019.22,2022-06-10T08:41:00.000Z,1839.0,BNB,BNB,bnb,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,2022-06-10 08:42:49.109047
52,XRP,XRP,xrp,737,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,48343101197.0,99989535142.0,,7,,,2022-06-10T08:42:00.000Z,0.40596652017168144,1056939889.446323,6.6672,0.00341823,0.86748719,0.67127523,-18.91592702,-44.76077002,-48.32853525,19625680567.253536,1.5904,40596652017.17,2022-06-10T08:42:00.000Z,1839.0,BNB,BNB,bnb,0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,2022-06-10 08:42:49.109047
4687,Binance USD,BUSD,binance-usd,3824,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,17977306386.449257,17977306386.449257,,8,,,2022-06-10T08:41:00.000Z,1.0008340856992064,4344779655.871266,-4.5562,0.13285371,0.06055948,-0.09169061,-0.11004398,0.23045337,0.12553466,17992301000.616447,1.4573,17992301000.62,2022-06-10T08:41:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2022-06-10 08:42:49.109047
5426,Solana,SOL,solana,327,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,341911565.19805396,511616946.142289,,9,,,2022-06-10T08:41:00.000Z,40.128964926613214,1294649114.2785168,33.8387,-0.53079045,0.56968031,0.02132696,-35.48767581,-63.41343746,-50.44712952,13720557207.836134,1.1112,20530658487.6,2022-06-10T08:41:00.000Z,,,,,,2022-06-10 08:42:49.109047
74,Dogecoin,DOGE,dogecoin,483,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,10,,,2022-06-10T08:41:00.000Z,0.07909953807374147,304119385.1718029,11.9558,-0.01668389,-1.70996551,-3.57972235,-23.78944584,-45.66626517,-31.99217287,10494196172.011852,0.85,10494196172.01,2022-06-10T08:41:00.000Z,,,,,,2022-06-10 08:42:49.109047
6636,Polkadot,DOT,polkadot-new,351,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",,987579314.957085,1103303471.382273,,11,904869778.0,8305557448.320883,2022-06-10T08:41:00.000Z,9.178732288615437,392688467.1129492,26.402,-0.13723995,-0.70588693,-6.41909691,-14.16182376,-50.50403649,-49.63383231,9064726145.76531,0.7341,10126927196.92,2022-06-10T08:41:00.000Z,2502.0,Huobi Token,HT,huobi-token,0xa2c49cee16a5e5bdefde931107dc1fae9f7773e3,2022-06-10 08:42:49.109047
3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,446,2019-01-30T00:00:00.000Z,"['medium-of-exchange', 'defi', 'wrapped-tokens', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem']",,273401.60490986,273401.60490986,,12,,,2022-06-10T08:41:00.000Z,30020.793571333557,210869716.81548476,-19.3529,-0.27340513,-1.41740027,-1.28357193,-2.27266991,-28.74938408,-23.12376649,8207733143.070203,0.6648,8207733143.07,2022-06-10T08:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2022-06-10 08:42:49.109047
1958,TRON,TRX,tron,616,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'bnb-chain']",,92792703289.71887,92792710175.97522,,13,71659659264.0,5799766757.934092,2022-06-10T08:41:00.000Z,0.08093489164618102,691676190.2700391,-6.0803,-0.15576746,-0.88281062,-4.41181151,7.46252417,31.18907809,35.13529618,7510167386.309622,0.6084,7510167943.65,2022-06-10T08:41:00.000Z,,,,,,2022-06-10 08:42:49.109047
4943,Dai,DAI,multi-collateral-dai,992,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,6982242053.300763,6982242053.300763,,14,,,2022-06-10T08:41:00.000Z,0.9998749131716154,180416147.58311802,1.6712,-0.01733593,-0.07519105,-0.02174185,0.0757975,0.03617326,-0.02053666,6981368666.787302,0.5655,6981368666.79,2022-06-10T08:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2022-06-10 08:42:49.109047
5805,Avalanche,AVAX,avalanche,266,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",720000000.0,280958821.14064354,404229626.49901325,,15,,,2022-06-10T08:41:00.000Z,24.171392853101775,451830933.13240564,-25.7286,-0.87511714,-2.14661382,1.16262776,-35.01003068,-69.4592041,-66.5324291,6791166041.334851,0.5502,17403402854.23,2022-06-10T08:41:00.000Z,1839.0,BNB,BNB,bnb,0x1ce0c2827e2ef14d5c4f29a091d735a204794041,2022-06-10 08:42:49.109047
5994,Shiba Inu,SHIB,shiba-inu,359,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,549063278876301.94,589735030408322.8,,16,,,2022-06-10T08:41:00.000Z,1.0505238740716588e-05,196411479.6499329,-49.3186,-0.53616961,-1.83791233,-4.90503121,-30.67765524,-56.59234597,-52.75615941,5768040828.356203,0.4673,6195307288.2,2022-06-10T08:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2022-06-10 08:42:49.109047
3957,UNUS SED LEO,LEO,unus-sed-leo,19,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,953954130.0,985239504.0,,17,,,2022-06-10T08:41:00.000Z,5.4499549674974945,6216184.12497903,-1.8645,-0.51620375,1.4589254,11.52045753,0.21511811,-6.90540369,-6.46910116,5199007049.55825,0.4211,5369510929.0,2022-06-10T08:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2022-06-10 08:42:49.109047
3890,Polygon,MATIC,polygon,399,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",10000000000.0,7956181044.62,10000000000.0,,18,,,2022-06-10T08:41:00.000Z,0.6438146671566748,428936127.80315936,-18.957,-0.87537015,3.13706075,6.62348275,-23.0534518,-54.40733873,-54.4637838,5122306051.080271,0.415,6438146671.57,2022-06-10T08:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,2022-06-10 08:42:49.109047
